SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES	ATTENDANCE
IDEA Achieve Academy	2024-04-15	615	49	80
IDEA Achieve Academy	2024-04-16	615	43	572
IDEA Achieve Academy	2024-04-17	615	38	577
IDEA Achieve Academy	2024-04-18	614	34	580
IDEA Achieve Academy	2024-04-19	614	59	555
IDEA Achieve College Preparatory	2024-04-15	442	21	421
IDEA Achieve College Preparatory	2024-04-16	442	14	428
IDEA Achieve College Preparatory	2024-04-17	442	20	422
IDEA Achieve College Preparatory	2024-04-18	441	24	417
IDEA Achieve College Preparatory	2024-04-19	441	36	405
IDEA Alamo Academy	2024-04-15	696	37	659
IDEA Alamo Academy	2024-04-16	695	27	668
IDEA Alamo Academy	2024-04-17	694	32	662
IDEA Alamo Academy	2024-04-18	694	24	670
IDEA Alamo Academy	2024-04-19	694	52	642
IDEA Alamo College Preparatory	2024-04-15	734	37	697
IDEA Alamo College Preparatory	2024-04-16	734	25	709
IDEA Alamo College Preparatory	2024-04-17	734	32	702
IDEA Alamo College Preparatory	2024-04-18	734	15	719
IDEA Alamo College Preparatory	2024-04-19	734	51	683
IDEA Ambrose and Freda Robinson Academy	2024-04-15	413	36	377
IDEA Ambrose and Freda Robinson Academy	2024-04-16	413	27	386
IDEA Ambrose and Freda Robinson Academy	2024-04-17	412	24	388
IDEA Ambrose and Freda Robinson Academy	2024-04-18	412	23	389
IDEA Ambrose and Freda Robinson Academy	2024-04-19	412	22	390
IDEA Ambrose and Freda Robinson College Preparatory	2024-04-15	118	6	112
IDEA Ambrose and Freda Robinson College Preparatory	2024-04-16	119	7	112
IDEA Ambrose and Freda Robinson College Preparatory	2024-04-17	119	3	116
IDEA Ambrose and Freda Robinson College Preparatory	2024-04-18	119	6	113
IDEA Ambrose and Freda Robinson College Preparatory	2024-04-19	119	7	112
IDEA Bluff Springs Academy	2024-04-15	584	59	525
IDEA Bluff Springs Academy	2024-04-16	584	27	557
IDEA Bluff Springs Academy	2024-04-17	584	28	556
IDEA Bluff Springs Academy	2024-04-18	584	32	552
IDEA Bluff Springs Academy	2024-04-19	584	53	531
IDEA Bluff Springs College Preparatory	2024-04-15	694	84	610
IDEA Bluff Springs College Preparatory	2024-04-16	694	62	632
IDEA Bluff Springs College Preparatory	2024-04-17	694	42	652
IDEA Bluff Springs College Preparatory	2024-04-18	694	53	641
IDEA Bluff Springs College Preparatory	2024-04-19	694	72	622
IDEA Brackenridge Academy	2024-04-15	640	44	596
IDEA Brackenridge Academy	2024-04-16	640	20	620
IDEA Brackenridge Academy	2024-04-17	638	21	617
IDEA Brackenridge Academy	2024-04-18	638	24	614
IDEA Brackenridge Academy	2024-04-19	638	62	576
IDEA Brackenridge College Preparatory	2024-04-15	645	76	569
IDEA Brackenridge College Preparatory	2024-04-16	645	43	602
IDEA Brackenridge College Preparatory	2024-04-17	646	32	614
IDEA Brackenridge College Preparatory	2024-04-18	646	45	601
IDEA Brackenridge College Preparatory	2024-04-19	646	63	583
IDEA Brownsville Academy	2024-04-15	684	41	643
IDEA Brownsville Academy	2024-04-16	684	14	670
IDEA Brownsville Academy	2024-04-17	684	28	656
IDEA Brownsville Academy	2024-04-18	684	21	663
IDEA Brownsville Academy	2024-04-19	684	41	643
IDEA Brownsville College Preparatory	2024-04-15	694	28	666
IDEA Brownsville College Preparatory	2024-04-16	694	12	682
IDEA Brownsville College Preparatory	2024-04-17	694	37	657
IDEA Brownsville College Preparatory	2024-04-18	694	37	657
IDEA Brownsville College Preparatory	2024-04-19	694	34	660
IDEA Burke Academy	2024-04-15	710	49	661
IDEA Burke Academy	2024-04-16	710	27	683
IDEA Burke Academy	2024-04-17	710	37	673
IDEA Burke Academy	2024-04-18	710	40	670
IDEA Burke Academy	2024-04-19	710	55	655
IDEA Burke College Preparatory	2024-04-15	497	29	468
IDEA Burke College Preparatory	2024-04-16	497	15	482
IDEA Burke College Preparatory	2024-04-17	497	29	468
IDEA Burke College Preparatory	2024-04-18	496	26	470
IDEA Burke College Preparatory	2024-04-19	496	36	460
IDEA Carver Academy	2024-04-15	509	30	479
IDEA Carver Academy	2024-04-16	509	19	490
IDEA Carver Academy	2024-04-17	509	30	479
IDEA Carver Academy	2024-04-18	509	22	487
IDEA Carver Academy	2024-04-19	508	33	475
IDEA Carver College Preparatory	2024-04-15	629	33	596
IDEA Carver College Preparatory	2024-04-16	629	28	601
IDEA Carver College Preparatory	2024-04-17	629	31	598
IDEA Carver College Preparatory	2024-04-18	629	36	593
IDEA Carver College Preparatory	2024-04-19	628	50	578
IDEA Converse Academy	2024-04-15	628	31	597
IDEA Converse Academy	2024-04-16	627	25	602
IDEA Converse Academy	2024-04-17	627	26	601
IDEA Converse Academy	2024-04-18	627	23	604
IDEA Converse Academy	2024-04-19	627	39	588
IDEA Converse College Preparatory	2024-04-15	365	26	339
IDEA Converse College Preparatory	2024-04-16	365	10	355
IDEA Converse College Preparatory	2024-04-17	364	34	330
IDEA Converse College Preparatory	2024-04-18	364	27	337
IDEA Converse College Preparatory	2024-04-19	364	39	325
IDEA Donna Academy	2024-04-15	754	61	693
IDEA Donna Academy	2024-04-16	754	19	735
IDEA Donna Academy	2024-04-17	754	36	718
IDEA Donna Academy	2024-04-18	754	30	724
IDEA Donna Academy	2024-04-19	754	37	717
IDEA Donna College Preparatory	2024-04-15	750	33	717
IDEA Donna College Preparatory	2024-04-16	751	29	722
IDEA Donna College Preparatory	2024-04-17	751	35	716
IDEA Donna College Preparatory	2024-04-18	751	48	703
