SCHOOLNAME	Region	SaleDate	MealType	TotalMealCount
IDEA Achieve Academy	TRCR	2024-04-15	Breakfast	288
IDEA Achieve Academy	TRCR	2024-04-15	CACFP Supper	470
IDEA Achieve Academy	TRCR	2024-04-15	Lunch	538
IDEA Achieve Academy	TRCR	2024-04-16	Breakfast	264
IDEA Achieve Academy	TRCR	2024-04-16	CACFP Supper	426
IDEA Achieve Academy	TRCR	2024-04-16	Lunch	456
IDEA Achieve Academy	TRCR	2024-04-17	Breakfast	258
IDEA Achieve Academy	TRCR	2024-04-17	CACFP Supper	438
IDEA Achieve Academy	TRCR	2024-04-17	Lunch	489
IDEA Achieve Academy	TRCR	2024-04-18	Breakfast	260
IDEA Achieve Academy	TRCR	2024-04-18	CACFP Supper	469
IDEA Achieve Academy	TRCR	2024-04-18	Lunch	554
IDEA Achieve Academy	TRCR	2024-04-19	Breakfast	276
IDEA Achieve Academy	TRCR	2024-04-19	CACFP Supper	428
IDEA Achieve Academy	TRCR	2024-04-19	Lunch	512
IDEA Achieve College Preparatory	TRCR	2024-04-15	Breakfast	128
IDEA Achieve College Preparatory	TRCR	2024-04-15	Lunch	335
IDEA Achieve College Preparatory	TRCR	2024-04-16	Breakfast	149
IDEA Achieve College Preparatory	TRCR	2024-04-16	Lunch	428
IDEA Achieve College Preparatory	TRCR	2024-04-17	Breakfast	151
IDEA Achieve College Preparatory	TRCR	2024-04-17	Lunch	305
IDEA Achieve College Preparatory	TRCR	2024-04-18	Breakfast	153
IDEA Achieve College Preparatory	TRCR	2024-04-18	Lunch	340
IDEA Achieve College Preparatory	TRCR	2024-04-19	Breakfast	138
IDEA Achieve College Preparatory	TRCR	2024-04-19	Lunch	355
IDEA Alamo Academy	MRGV	2024-04-15	Breakfast	561
IDEA Alamo Academy	MRGV	2024-04-15	CACFP Supper	109
IDEA Alamo Academy	MRGV	2024-04-15	Lunch	649
IDEA Alamo Academy	MRGV	2024-04-16	Breakfast	598
IDEA Alamo Academy	MRGV	2024-04-16	CACFP Supper	124
IDEA Alamo Academy	MRGV	2024-04-16	Lunch	665
IDEA Alamo Academy	MRGV	2024-04-17	Breakfast	586
IDEA Alamo Academy	MRGV	2024-04-17	CACFP Supper	237
IDEA Alamo Academy	MRGV	2024-04-17	CACFP Supper	25
IDEA Alamo Academy	MRGV	2024-04-17	Lunch	620
IDEA Alamo Academy	MRGV	2024-04-18	Breakfast	622
IDEA Alamo Academy	MRGV	2024-04-18	CACFP Supper	262
IDEA Alamo Academy	MRGV	2024-04-18	CACFP Supper	26
IDEA Alamo Academy	MRGV	2024-04-18	Lunch	666
IDEA Alamo Academy	MRGV	2024-04-19	Breakfast	568
IDEA Alamo Academy	MRGV	2024-04-19	CACFP Supper	8
IDEA Alamo Academy	MRGV	2024-04-19	CACFP Supper	26
IDEA Alamo Academy	MRGV	2024-04-19	Lunch	537
IDEA Alamo College Preparatory	MRGV	2024-04-15	Breakfast	537
IDEA Alamo College Preparatory	MRGV	2024-04-15	Lunch	662
IDEA Alamo College Preparatory	MRGV	2024-04-16	Breakfast	574
IDEA Alamo College Preparatory	MRGV	2024-04-16	Lunch	657
IDEA Alamo College Preparatory	MRGV	2024-04-17	Breakfast	485
IDEA Alamo College Preparatory	MRGV	2024-04-17	CACFP Supper	22
IDEA Alamo College Preparatory	MRGV	2024-04-17	Lunch	531
IDEA Alamo College Preparatory	MRGV	2024-04-18	Breakfast	513
IDEA Alamo College Preparatory	MRGV	2024-04-18	CACFP Supper	16
IDEA Alamo College Preparatory	MRGV	2024-04-18	Lunch	680
IDEA Alamo College Preparatory	MRGV	2024-04-19	Breakfast	537
IDEA Alamo College Preparatory	MRGV	2024-04-19	CACFP Supper	5
IDEA Alamo College Preparatory	MRGV	2024-04-19	Lunch	636
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-15	Breakfast	273
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-15	CACFP Supper	101
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-15	Lunch	323
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-16	Breakfast	263
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-16	CACFP Supper	102
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-16	Lunch	364
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-17	Breakfast	288
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-17	CACFP Supper	103
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-17	Lunch	313
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-18	Breakfast	277
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-18	CACFP Supper	113
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-18	Lunch	338
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-19	Breakfast	274
