Campus,Site,Region,State,SaleDate,MealType,MenuItem,FreeCount,ReducedCount,PaidCount,TotalMealCount,EntryMethod
IDEA Achieve,Academy,TRCR,TX,4/15/24,Breakfast,AC Breakfast,288,0,0,288,Bulk
IDEA Achieve,Academy,TRCR,TX,4/15/24,CACFP Supper,AC Supper,470,0,0,470,Bulk
IDEA Achieve,Academy,TRCR,TX,4/15/24,Lunch,AC Lunch,538,0,0,538,Bulk
IDEA Achieve,Academy,TRCR,TX,4/16/24,Breakfast,AC Breakfast,264,0,0,264,Bulk
IDEA Achieve,Academy,TRCR,TX,4/16/24,CACFP Supper,AC Supper,426,0,0,426,Bulk
IDEA Achieve,Academy,TRCR,TX,4/16/24,Lunch,AC Lunch,456,0,0,456,Bulk
IDEA Achieve,Academy,TRCR,TX,4/17/24,Breakfast,AC Breakfast,258,0,0,258,Bulk
IDEA Achieve,Academy,TRCR,TX,4/17/24,CACFP Supper,AC Supper,438,0,0,438,Bulk
IDEA Achieve,Academy,TRCR,TX,4/17/24,Lunch,AC Lunch,489,0,0,489,Bulk
IDEA Achieve,Academy,TRCR,TX,4/18/24,Breakfast,AC Breakfast,260,0,0,260,Bulk
IDEA Achieve,Academy,TRCR,TX,4/18/24,CACFP Supper,AC Supper,469,0,0,469,Bulk
IDEA Achieve,Academy,TRCR,TX,4/18/24,Lunch,AC Lunch,554,0,0,554,Bulk
IDEA Achieve,Academy,TRCR,TX,4/19/24,Breakfast,AC Breakfast,276,0,0,276,Bulk
IDEA Achieve,Academy,TRCR,TX,4/19/24,CACFP Supper,AC Supper,428,0,0,428,Bulk
IDEA Achieve,Academy,TRCR,TX,4/19/24,Lunch,AC Lunch,512,0,0,512,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/15/24,Breakfast,CP Breakfast,128,0,0,128,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/15/24,Lunch,CP Lunch,335,0,0,335,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/16/24,Breakfast,CP Breakfast,149,0,0,149,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/16/24,Lunch,CP Lunch,428,0,0,428,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/17/24,Breakfast,CP Breakfast,151,0,0,151,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/17/24,Lunch,CP Lunch,305,0,0,305,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/18/24,Breakfast,CP Breakfast,153,0,0,153,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/18/24,Lunch,CP Lunch,340,0,0,340,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/19/24,Breakfast,CP Breakfast,138,0,0,138,Bulk
IDEA Achieve,College Preparatory,TRCR,TX,4/19/24,Lunch,CP Lunch,355,0,0,355,Bulk
IDEA Alamo,Academy,MRGV,TX,4/15/24,Breakfast,AC Breakfast,561,0,0,561,Bulk
IDEA Alamo,Academy,MRGV,TX,4/15/24,CACFP Supper,AC Supper,109,0,0,109,Bulk
IDEA Alamo,Academy,MRGV,TX,4/15/24,Lunch,AC Lunch,649,0,0,649,Bulk
IDEA Alamo,Academy,MRGV,TX,4/16/24,Breakfast,AC Breakfast,598,0,0,598,Bulk
IDEA Alamo,Academy,MRGV,TX,4/16/24,CACFP Supper,AC Supper,124,0,0,124,Bulk
IDEA Alamo,Academy,MRGV,TX,4/16/24,Lunch,AC Lunch,665,0,0,665,Bulk
IDEA Alamo,Academy,MRGV,TX,4/17/24,Breakfast,AC Breakfast,586,0,0,586,Bulk
IDEA Alamo,Academy,MRGV,TX,4/17/24,CACFP Supper,AC Supper,237,0,0,237,Bulk
IDEA Alamo,Academy,MRGV,TX,4/17/24,CACFP Supper,Supper,18,2,5,25,Individual
IDEA Alamo,Academy,MRGV,TX,4/17/24,Lunch,AC Lunch,620,0,0,620,Bulk
IDEA Alamo,Academy,MRGV,TX,4/18/24,Breakfast,AC Breakfast,622,0,0,622,Bulk
IDEA Alamo,Academy,MRGV,TX,4/18/24,CACFP Supper,AC Supper,262,0,0,262,Bulk
IDEA Alamo,Academy,MRGV,TX,4/18/24,CACFP Supper,Supper,16,2,8,26,Individual
IDEA Alamo,Academy,MRGV,TX,4/18/24,Lunch,AC Lunch,666,0,0,666,Bulk
IDEA Alamo,Academy,MRGV,TX,4/19/24,Breakfast,AC Breakfast,568,0,0,568,Bulk
IDEA Alamo,Academy,MRGV,TX,4/19/24,CACFP Supper,AC Supper,8,0,0,8,Bulk
IDEA Alamo,Academy,MRGV,TX,4/19/24,CACFP Supper,Supper,17,1,8,26,Individual
IDEA Alamo,Academy,MRGV,TX,4/19/24,Lunch,AC Lunch,537,0,0,537,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/15/24,Breakfast,CP Breakfast,537,0,0,537,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/15/24,Lunch,CP Lunch,662,0,0,662,Bulk
